City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,concepcion del oro,24.6333,-101.4167,20.49,30,1,4.81,MX,1697492928
252,kodiak,57.79,-152.4072,9.73,93,75,4.12,US,1697492929
253,yenisarbademli,37.7078,31.3864,14.18,61,9,3.5,TR,1697492929
254,kralendijk,12.15,-68.2667,31.99,70,40,6.17,BQ,1697492929
255,grantsville,40.5999,-112.4644,26.61,38,0,2.57,US,1697492929
256,kourou,5.1552,-52.6478,29.03,80,21,4.12,GF,1697492929
257,osilnica,45.5292,14.6989,8.65,83,100,1.41,HR,1697492930
258,riberalta,-10.9833,-66.1,33.11,58,75,3.09,BO,1697492930
259,holualoa,19.6228,-155.9522,26.04,82,75,4.12,US,1697492930
260,new norfolk,-42.7826,147.0587,9.4,62,10,1.76,AU,1697492930
261,kurinjippadi,11.5667,79.6,25.56,89,96,2.14,IN,1697492930
262,mount gambier,-37.8333,140.7667,10.69,69,64,1.69,AU,1697492930
263,alta,69.9689,23.2717,1.22,80,40,1.03,NO,1697492931
264,miyako,39.6367,141.9525,12.46,61,6,3.37,JP,1697492931
265,veraval,20.9,70.3667,25.89,77,5,5.35,IN,1697492931
266,melioratorov,57.2107,65.6077,9.1,93,0,4.0,RU,1697492931
267,hamilton,39.1834,-84.5333,12.65,77,100,4.12,US,1697492931
268,mandalgovi,45.7625,106.2708,2.48,43,100,6.91,MN,1697492932
269,afaahiti,-17.75,-149.2833,28.93,82,72,5.26,PF,1697492932
270,amanganj,24.4333,80.0333,21.64,69,11,1.44,IN,1697492932
271,nova sintra,14.8667,-24.7167,25.57,73,37,3.71,CV,1697492932
272,mirny,62.5353,113.9611,0.13,100,100,1.79,RU,1697492932
273,ulladulla,-35.35,150.4667,13.2,66,90,8.05,AU,1697492933
274,ambovombe,-25.1667,46.0833,21.18,77,100,2.53,MG,1697492933
275,sibulan,9.3584,123.285,25.01,88,20,2.06,PH,1697492933
276,wewak,-3.5534,143.6268,27.64,77,77,1.08,PG,1697492933
277,st. john's,47.5649,-52.7093,9.43,98,100,11.18,CA,1697492641
278,yuzhno-kurilsk,44.0306,145.8556,10.76,75,33,4.5,RU,1697492934
279,belmonte,-15.8631,-38.8828,23.67,77,0,3.04,BR,1697492934
280,kirensk,57.7853,108.1119,3.9,95,100,3.58,RU,1697492934
281,marsabit,2.3284,37.9899,21.23,68,81,4.84,KE,1697492934
282,malvan,16.0667,73.4667,27.21,83,79,1.22,IN,1697492934
283,oyama,36.3,139.8,18.1,74,0,1.46,JP,1697492935
284,uturoa,-16.7333,-151.4333,25.59,79,55,6.26,PF,1697492935
285,faya-largeau,17.9257,19.1043,29.54,20,62,5.2,TD,1697492935
286,rouyn-noranda,48.2398,-79.0288,12.05,54,20,5.66,CA,1697492929
287,twin falls,42.3505,-114.6445,25.19,21,0,4.12,US,1697492935
288,mildura,-34.2,142.15,10.6,77,0,5.68,AU,1697492935
289,antofagasta,-23.65,-70.4,17.6,77,19,2.95,CL,1697492859
290,camana,-16.6228,-72.7111,19.82,77,33,2.7,PE,1697492936
291,coquimbo,-29.9533,-71.3436,16.85,67,0,6.17,CL,1697492936
292,strugi-krasnyye,58.2675,29.1114,3.19,85,55,4.45,RU,1697492936
293,merizo village,13.2658,144.6691,27.85,91,100,3.81,GU,1697492644
294,ponta delgada,37.7333,-25.6667,20.66,77,40,4.02,PT,1697492836
295,mimarsinan,41.0032,28.5377,12.77,67,61,6.65,TR,1697492937
296,newman,37.3138,-121.0208,28.49,45,98,2.68,US,1697492671
297,kapa'a,22.0752,-159.319,29.18,71,20,5.14,US,1697492937
298,kasba tadla,32.5977,-6.2684,22.74,43,43,1.56,MA,1697492938
299,lienz,46.8289,12.769,5.1,69,89,1.2,AT,1697492938
300,kudahuvadhoo,2.6708,72.8944,27.87,75,28,7.86,MV,1697492938
301,port macquarie,-31.4333,152.9167,17.72,60,36,6.83,AU,1697492938
302,ravar,31.2656,56.8055,20.95,24,1,2.41,IR,1697492938
303,george town,5.4112,100.3354,26.96,89,20,1.54,MY,1697492938
304,crane,31.3974,-102.3501,23.08,26,0,2.21,US,1697492939
305,cidreira,-30.1811,-50.2056,19.29,97,100,7.41,BR,1697492939
306,nantucket,41.2835,-70.0995,15.08,77,75,3.09,US,1697492782
307,tam ky,15.5667,108.4833,23.65,96,100,2.81,VN,1697492939
308,springbok,-29.6643,17.8865,18.42,31,0,2.31,ZA,1697492939
309,pindiga,9.9833,10.9333,24.37,79,70,3.47,NG,1697492940
310,wilmington island,32.0036,-80.9737,18.88,59,22,3.98,US,1697492940
311,sur,22.5667,59.5289,27.07,72,0,6.02,OM,1697492940
312,kraljevo,43.7258,20.6894,4.0,100,0,0.0,RS,1697492940
313,tirano,46.2154,10.1679,12.0,88,100,0.5,IT,1697492940
314,peruibe,-24.32,-46.9983,21.75,98,90,1.2,BR,1697492941
